財務データのあるNPO法人 収入ランキング（2324団体）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
順位,法人名,"総収入
(百万円)",ステージ,"寄付+会費
(百万円)","寄付+会費比
(%)","受取寄附金
(百万円)","受取会費
(百万円)","受取助成金等
(百万円)","事業収益
(百万円)","経常費用
(百万円)",有給職員数,事業年度,認定状況,団体所在地(都道府県),活動分野
1,国境なき医師団日本,"14,078.5",30億～,"14,065.7",99.9,"14,065.2",0.5,4.0,0.0,"13,860.1",,unknown,○,東京都,保健・医療・福祉、社会教育、災害救援、国際協力・交流
2,ピースウィンズ・ジャパン,"6,851.7",30億～,"3,045.1",44.4,"1,669.0","1,376.1","3,609.9",171.9,"6,851.8",,2024,○,広島県,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、災害救援、人権の擁護・平和、国際協力・交流、経済活動の活性化、職業能力・雇用機会、NPO支援
3,グッドネーバーズ・ジャパン,"3,001.8",30億～,"1,847.3",61.5,"1,847.3",0.0,"1,140.9",13.6,"2,877.2",,unknown,○,東京都,保健・医療・福祉、農山漁村・中山間地域、災害救援、人権の擁護・平和、国際協力・交流、子どもの健全育成、職業能力・雇用機会
4,特定非営利活動法人　国際連合世界食糧計画ＷＦＰ協会,"2,729.1",10億～,"2,679.0",98.2,"2,598.2",80.8,0.0,44.9,"2,752.3",,2024,○,横浜市,人権の擁護・平和、国際協力・交流、NPO支援
5,ジャパンハート,"2,005.2",10億～,"1,848.3",92.2,"1,832.7",15.5,6.5,24.1,814.3,,unknown,○,東京都,保健・医療・福祉、災害救援、国際協力・交流、子どもの健全育成、NPO支援
6,キッズドア,"1,643.0",10億～,429.0,26.1,429.0,0.0,7.6,0.0,157.3,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、災害救援、地域安全、人権の擁護・平和、男女共同参画、子どもの健全育成、NPO支援
7,特定非営利活動法人西日本がん研究機構,"1,560.5",10億～,227.6,14.6,211.6,16.0,10.1,"1,318.6","1,192.7",26,2024,○,大阪市,保健・医療・福祉、社会教育
8,特定非営利活動法人　きずなの会,"1,430.2",10億～,370.8,25.9,369.9,0.9,0.0,"1,052.5",0.0,,2024,,横浜市,保健・医療・福祉、学術・文化・芸術・スポーツ、子どもの健全育成
9,ＥＴＩＣ．,"1,143.4",10億～,142.7,12.5,142.5,0.2,342.8,657.8,"1,110.6",,unknown,○,東京都,社会教育、災害救援、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
10,特定非営利活動法人　ムーミンの会,996.4,5億～,1.6,0.2,0.8,0.8,0.0,977.4,923.2,,2024,○,横浜市,保健・医療・福祉、子どもの健全育成
11,ジャパンマック,979.2,5億～,15.0,1.5,14.8,0.1,60.8,897.9,933.6,,unknown,○,東京都,保健・医療・福祉、社会教育、NPO支援
12,特定非営利活動法人釜ヶ崎支援機構,941.0,5億～,8.1,0.9,8.1,0.1,9.2,922.6,937.2,,2024,○,大阪市,保健・医療・福祉、社会教育、まちづくり、環境の保全、人権の擁護・平和、経済活動の活性化、職業能力・雇用機会
13,あたたかい心,936.5,5億～,0.0,0.0,0.0,0.0,113.3,810.5,18.0,125,2024,,名古屋市,保健・医療・福祉、子どもの健全育成
14,特定非営利活動法人抱樸,851.8,5億～,251.8,29.6,250.4,1.4,14.5,32.1,852.1,,2024,○,北九州市,保健・医療・福祉、まちづくり、災害救援、人権の擁護・平和、子どもの健全育成
15,特定非営利活動法人ぬくもり福祉会たんぽぽ,826.5,5億～,3.9,0.5,3.3,0.6,1.4,820.1,817.4,,2024,○,埼玉県,保健・医療・福祉、男女共同参画、子どもの健全育成
16,特定非営利活動法人  さくらんぼ,818.8,5億～,9.3,1.1,2.3,7.0,747.4,61.4,778.0,,2024,○,横浜市,保健・医療・福祉、子どもの健全育成、NPO支援
17,ＡＤＲＡ　Ｊａｐａｎ,815.5,5億～,213.4,26.2,211.9,1.5,600.7,0.6,822.4,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、農山漁村・中山間地域、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
18,特定非営利活動法人　じゃんけんぽん,790.6,5億～,29.1,3.7,28.7,0.4,6.0,681.2,725.4,,2024,○,群馬県,保健・医療・福祉、まちづくり、環境の保全、地域安全、子どもの健全育成、職業能力・雇用機会、NPO支援
19,パルシック,703.0,5億～,31.1,4.4,28.5,2.6,475.0,174.6,655.1,,unknown,○,東京都,社会教育、環境の保全、災害救援、人権の擁護・平和、国際協力・交流、NPO支援
20,特定非営利活動法人　おれんじハウス,697.0,5億～,3.2,0.5,3.2,0.0,588.3,67.7,661.7,,2024,○,横浜市,保健・医療・福祉、子どもの健全育成
21,芸術と遊び創造協会,676.6,5億～,49.1,7.3,36.6,12.5,5.5,621.9,638.4,,unknown,○,東京都,保健・医療・福祉、社会教育、観光、学術・文化・芸術・スポーツ、環境の保全、国際協力・交流、子どもの健全育成、経済活動の活性化、NPO支援
22,パレスチナ子どものキャンペーン,672.0,5億～,136.1,20.3,131.6,4.6,527.0,5.6,607.5,,unknown,○,東京都,保健・医療・福祉、社会教育、環境の保全、災害救援、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
23,特定非営利活動法人トイボックス,627.4,5億～,1.4,0.2,1.3,0.1,48.1,444.7,670.6,63,2021,,大阪市,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、国際協力・交流、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
24,特定非営利活動法人テラ・ルネッサンス,611.8,5億～,310.7,50.8,248.5,62.2,229.2,63.2,606.4,,2024,○,京都府,保健・医療・福祉、環境の保全、災害救援、人権の擁護・平和、国際協力・交流、NPO支援
25,特定非営利活動法人　愛知ネット,587.7,5億～,32.2,5.5,31.3,0.8,0.0,553.9,537.4,,2024,○,愛知県,保健・医療・福祉、社会教育、まちづくり、災害救援、子どもの健全育成、情報化社会、NPO支援
26,かものはしプロジェクト,571.4,5億～,499.0,87.3,113.1,385.9,67.8,3.1,598.4,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
27,ＮＰＯ法人　ぐるーぷ藤,559.2,5億～,23.4,4.2,23.3,0.0,28.8,496.2,571.9,,2024,○,神奈川県,保健・医療・福祉、まちづくり、NPO支援
28,認定NPO法人はばたけ手をつなぐ育成会,556.1,5億～,2.1,0.4,1.7,0.4,142.5,336.6,397.8,,2024,○,兵庫県,保健・医療・福祉、社会教育、人権の擁護・平和、職業能力・雇用機会、NPO支援
29,育て上げネット,555.6,5億～,112.1,20.2,111.9,0.2,161.2,282.3,521.1,71,2021,○,東京都,社会教育、子どもの健全育成、職業能力・雇用機会、NPO支援
30,ＮＰＯ法人カローレ,540.1,5億～,1.2,0.2,0.2,1.1,3.4,534.6,497.1,,2024,○,埼玉県,まちづくり、男女共同参画、子どもの健全育成
31,特定非営利活動法人出発のなかまの会,523.2,5億～,4.4,0.8,4.1,0.4,0.2,442.5,366.4,,2024,○,大阪市,保健・医療・福祉
32,認定ＮＰＯ法人さわおとの森,513.9,5億～,3.3,0.6,2.2,1.1,13.7,484.1,506.6,,2024,○,宮城県,保健・医療・福祉、社会教育、子どもの健全育成
33,チャイルド・ファンド・ジャパン,505.0,5億～,363.4,72.0,363.2,0.3,132.6,0.0,525.9,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
34,特定非営利活動法人　こらぼネット・かながわ,492.9,1億～,0.0,0.0,0.0,0.0,112.7,372.3,0.0,,2024,○,横浜市,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、地域安全、人権の擁護・平和、男女共同参画、子どもの健全育成、NPO支援
